OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
762,5309,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2014-10-19,2014,10,19,20:00:00:000,20,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1785,WHITE,FEMALE,24,1882,WHITE,FEMALE,34,4,14-769,2014-10-20T00:00:00Z
763,5309,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2014-10-19,2014,10,19,20:00:00:000,20,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1785,WHITE,FEMALE,24,1882,WHITE,FEMALE,34,4,14-769,2014-10-20T00:00:00Z
764,5310,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-21,2014,10,21,11:30:00:000,11,CRIMINAL INVESTIGATION DIVISION,INVESTIGATIVE SUPPORT BRANCH,CRIME ACTION TEAM,CAT UNIT,INVESTIGATIVE PROCEDURES,UNREPORTED,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1786,WHITE,MALE,46,229,WHITE,MALE,59,32,14-770,2014-10-21T15:30:00Z
765,5311,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2014-10-20,2014,10,20,19:33:00:000,19,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DISCOURTEOUS, OR INSULTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1787,WHITE,FEMALE,55,2932,BLACK,MALE,29,4,14-771,2014-10-20T23:33:00Z
766,5312,CITIZEN COMPLAINT,UNREPORTED,CPCO (INFORMAL),2014-08-26,2014,8,26,01:02:03:004,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW DAY SHIFT,SW DAY SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,1788,WHITE,FEMALE,99999,952,WHITE,MALE,38,15,14-772,2014-08-26T05:02:03Z
767,5313,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-05-07,2014,5,7,01:02:03:004,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DETECTIVE SECTION,NW DETECTIVE DAY SHIFT,UNREPORTED,UNREPORTED,UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,1789,BLACK,MALE,59,2197,WHITE,MALE,44,14,14-773,2014-05-07T05:02:03Z
768,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY LAW,THEFT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,2985,WHITE,MALE,35,4,14-775,2014-10-22T18:25:00Z
769,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,2985,WHITE,MALE,35,4,14-775,2014-10-22T18:25:00Z
770,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY LAW,THEFT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,1613,WHITE,MALE,51,29,14-775,2014-10-22T18:25:00Z
771,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,1613,WHITE,MALE,51,29,14-775,2014-10-22T18:25:00Z
772,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY LAW,THEFT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,1154,WHITE,MALE,44,13,14-775,2014-10-22T18:25:00Z
773,5316,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-22,2014,10,22,14:25:00:000,14,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,1791,WHITE,MALE,41,1154,WHITE,MALE,44,13,14-775,2014-10-22T18:25:00Z
774,5317,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2014-10-26,2014,10,26,17:00:00:000,17,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",UNFOUNDED,INCIDENT LOCATION,INDIANAPOLIS,1792,WHITE,FEMALE,99999,NA,UNREPORTED,UNREPORTED,99999,99999,14-776,2014-10-26T21:00:00Z
775,5370,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-08-28,2014,8,28,18:00:00:000,18,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY LAW,THEFT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1823,WHITE,MALE,27,3060,WHITE,MALE,26,2,14-069,2014-08-28T22:00:00Z
776,5370,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-08-28,2014,8,28,18:00:00:000,18,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,SEARCH/SEIZURE,IMPROPER WARANTLESS SEARCH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1823,WHITE,MALE,27,3060,WHITE,MALE,26,2,14-069,2014-08-28T22:00:00Z
777,5370,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-08-28,2014,8,28,18:00:00:000,18,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,NEGLECT OF DUTY,UNWARRANTED HOLDING OF PROPERTY,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1823,WHITE,MALE,27,3060,WHITE,MALE,26,2,14-069,2014-08-28T22:00:00Z
778,5373,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-10-17,2014,10,17,17:25:00:000,17,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1829,WHITE,MALE,99999,3253,WHITE,MALE,29,99999,14-777,2014-10-17T21:25:00Z
779,5373,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-10-17,2014,10,17,17:25:00:000,17,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,SEARCH/SEIZURE,IMPROPER WARANTLESS SEARCH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1829,WHITE,MALE,99999,3253,WHITE,MALE,29,99999,14-777,2014-10-17T21:25:00Z
780,5373,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-10-17,2014,10,17,17:25:00:000,17,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,SEARCH/SEIZURE,IMPROPER WARANTLESS SEARCH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1829,WHITE,MALE,99999,3253,WHITE,MALE,29,99999,14-777,2014-10-17T21:25:00Z
781,5373,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-10-17,2014,10,17,17:25:00:000,17,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,SEARCH/SEIZURE,IMPROPER WARANTLESS SEARCH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1829,WHITE,MALE,99999,3253,WHITE,MALE,29,99999,14-777,2014-10-17T21:25:00Z
782,5374,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-27,2014,10,27,01:02:03:004,1,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO CONFORM TO THE DEPARTMENT'S RULES, REGULATIONS, ORDERS, POLICIES, AND SOPS WHILE OFF DUTY",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1831,UNREPORTED,MALE,99999,2568,WHITE,MALE,31,7,14-778,2014-10-27T05:02:03Z
783,5374,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-27,2014,10,27,01:02:03:004,1,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,VEHICLE OPERATION,SPEEDING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1831,UNREPORTED,MALE,99999,2568,WHITE,MALE,31,7,14-778,2014-10-27T05:02:03Z
784,5375,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-28,2014,10,28,01:08:00:000,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,HARLAN,1832,WHITE,FEMALE,42,2113,WHITE,MALE,47,10,14-779,2014-10-28T05:08:00Z
785,5375,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-28,2014,10,28,01:08:00:000,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,HARLAN,1832,WHITE,FEMALE,42,2113,WHITE,MALE,47,10,14-779,2014-10-28T05:08:00Z
786,5375,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-28,2014,10,28,01:08:00:000,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO COMPLETE AND INCIDENT REPORT WHEN NECESSARY,EXONERATED,INCIDENT LOCATION,HARLAN,1832,WHITE,FEMALE,42,2113,WHITE,MALE,47,10,14-779,2014-10-28T05:08:00Z
787,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
788,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,VIOLATION OF ANY RULE,"FAILURE TO CONFORM TO THE DEPARTMENT'S RULES, REGULATIONS, ORDERS, POLICIES, AND SOPS WHILE OFF DUTY",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
789,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,VEHICLE OPERATION,VIOLATION OF TAKE-HOME VEHICLE RESTRICTIONS,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
790,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,FAILURE TO COOPERATE,"FAILURE TO TRUTHFULLY ANSWER QUESTIONS SPECFICALLY, DIRECTLY, AND NARROWLY",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
791,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
792,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,UNREPORTED,UNREPORTED,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
793,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,UNREPORTED,UNREPORTED,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
794,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,UNREPORTED,UNREPORTED,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
795,5376,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,09:45:00:000,9,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,UNREPORTED,UNREPORTED,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1833,UNREPORTED,MALE,99999,574,BLACK,MALE,49,19,14-780,2014-10-30T13:45:00Z
796,5377,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-10-30,2014,10,30,16:01:00:000,16,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT 2ND RC,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1834,UNREPORTED,MALE,99999,2276,WHITE,MALE,51,15,14-781,2014-10-30T20:01:00Z
797,5378,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-09-21,2014,9,21,17:03:00:000,17,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,INVESTIGATIVE PROCEDURES,INCLUDING FALSE INFORMATION IN INCIDENT OR CRASH REPORT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1835,BLACK,FEMALE,38,2889,WHITE,MALE,35,5,14-782,2014-09-21T21:03:00Z
798,5378,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-09-21,2014,9,21,17:03:00:000,17,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,FAILURE TO PROPERLY INVESTIGATE CRASH,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1835,BLACK,FEMALE,38,2889,WHITE,MALE,35,5,14-782,2014-09-21T21:03:00Z
799,5399,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-10-20,2014,10,20,22:15:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1853,BLACK,MALE,41,2205,BLACK,MALE,43,11,14-070,2014-10-21T02:15:00Z
800,5399,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-10-20,2014,10,20,22:15:00:000,22,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1853,BLACK,MALE,41,2205,BLACK,MALE,43,11,14-070,2014-10-21T02:15:00Z
801,5458,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-11-06,2014,11,6,16:45:00:000,16,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DISCOURTEOUS, OR INSULTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1901,BLACK,FEMALE,40,2119,WHITE,FEMALE,41,15,14-071,2014-11-06T21:45:00Z
802,5458,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-11-06,2014,11,6,16:45:00:000,16,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1901,BLACK,FEMALE,40,2119,WHITE,FEMALE,41,15,14-071,2014-11-06T21:45:00Z
803,5460,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-09-03,2014,9,3,09:47:00:000,9,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,SUBSTANDARD PERFORMANCE,ACT OR OMMISSION CONTRARY TO THE OBECTIVES OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1907,BLACK,MALE,99999,2346,WHITE,MALE,44,13,14-783,2014-09-03T13:47:00Z
804,5461,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-11-01,2014,11,1,08:10:00:000,8,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE TACTICAL SHIFT,UNREPORTED,UNREPORTED,UNREPORTED,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1908,UNREPORTED,MALE,99999,1409,WHITE,MALE,44,13,14-784,2014-11-01T12:10:00Z
805,5462,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-11-01,2014,11,1,01:02:03:004,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1909,WHITE,MALE,99999,1791,WHITE,MALE,38,8,14-785,2014-11-01T05:02:03Z
806,5462,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-11-01,2014,11,1,01:02:03:004,1,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW MIDDLE SHIFT,UNREPORTED,SUBSTANDARD PERFORMANCE,CONDUCT DETRIMENTAL TO THE EFFICIENT OPERATION AND/OR GENERAL DISCIPLINE OF THE DEPARTMENT,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1909,WHITE,MALE,99999,1791,WHITE,MALE,38,8,14-785,2014-11-01T05:02:03Z
807,5463,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-11-06,2014,11,6,12:20:00:000,12,OPERATIONS DIVISION,SOUTHWEST DISTRICT,UNREPORTED,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1910,WHITE,FEMALE,99999,1175,WHITE,FEMALE,51,22,14-786,2014-11-06T17:20:00Z
808,5512,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2014-10-08,2014,10,8,17:38:00:000,17,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,UNREPORTED,CONDUCT UNBECOMING,INTERVENING IN THE ASSIGNED CASE OF ANOTHER MEMBER,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1647,WHITE,MALE,53,2751,WHITE,MALE,31,7,14-072,2014-10-08T21:38:00Z
809,5512,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2014-10-08,2014,10,8,17:38:00:000,17,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,UNREPORTED,FAILURE TO COOPERATE,INCLUDING FALSE INFORMATION IN INCIDENT OR CRASH REPORT,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1647,WHITE,MALE,53,2751,WHITE,MALE,31,7,14-072,2014-10-08T21:38:00Z
810,5512,CITIZEN COMPLAINT,INVESTIGATION,CPCO (FORMAL),2014-10-08,2014,10,8,17:38:00:000,17,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1647,WHITE,MALE,53,2751,WHITE,MALE,31,7,14-072,2014-10-08T21:38:00Z
811,5579,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-11-01,2014,11,1,01:02:03:004,1,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,EQUIPMENT AND UNIFORMS,IMPROPER WEAPON STORAGE,SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1982,UNREPORTED,FEMALE,99999,2556,HISPANIC,MALE,28,7,14-787,2014-11-01T05:02:03Z
812,5580,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (INFORMAL),2014-11-12,2014,11,12,10:45:00:000,10,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,1983,WHITE,MALE,99999,499,WHITE,FEMALE,52,27,14-789,2014-11-12T15:45:00Z
813,5581,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2014-11-13,2014,11,13,01:02:03:004,1,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1984,UNREPORTED,MALE,99999,1498,WHITE,MALE,35,11,14-790,2014-11-13T06:02:03Z
814,5582,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-11-13,2014,11,13,01:02:03:004,1,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1985,UNREPORTED,MALE,99999,3065,BLACK,MALE,33,2,14-791,2014-11-13T06:02:03Z
815,5582,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (INFORMAL),2014-11-13,2014,11,13,01:02:03:004,1,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,VEHICLE OPERATION,SPEEDING,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1985,UNREPORTED,MALE,99999,3065,BLACK,MALE,33,2,14-791,2014-11-13T06:02:03Z
816,5583,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-30,2014,10,30,17:20:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,UNREPORTED,UNREPORTED,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1986,UNREPORTED,FEMALE,99999,3148,WHITE,MALE,24,99999,14-792,2014-10-30T21:20:00Z
817,5583,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-30,2014,10,30,17:20:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,UNREPORTED,UNREPORTED,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1986,UNREPORTED,FEMALE,99999,3148,WHITE,MALE,24,99999,14-792,2014-10-30T21:20:00Z
818,5583,CITIZEN COMPLAINT,INVESTIGATION,CPCO (INFORMAL),2014-10-30,2014,10,30,17:20:00:000,17,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,ACCIDENT INVESTIGATIONS UNIT,UNREPORTED,UNREPORTED,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,1986,UNREPORTED,FEMALE,99999,3148,WHITE,MALE,24,99999,14-792,2014-10-30T21:20:00Z
